region,destRegion,packetTransmit,packetReceive,packetLossCount,packetLossRate,rttMin,rttAvg,rttMax,rttMdev,packetDuplicateCount,packetDuplicateRate
NA,NA,100,100,0,0.0,75.915,76.043,77.548,0.183,0,0.0
NA,NA,100,100,0,0.0,66.136,66.205,66.82,0.252,0,0.0
NA,NA,100,100,0,0.0,75.795,75.962,76.699,0.237,0,0.0
NA,EU,100,100,0,0.0,175.133,175.285,175.898,0.398,0,0.0
NA,EU,100,100,0,0.0,166.261,166.36,167.044,0.482,0,0.0
NA,EU,100,100,0,0.0,172.483,172.974,176.086,0.604,0,0.0
NA,AS,100,100,0,0.0,237.294,238.107,239.5,0.327,0,0.0
NA,NA,100,100,0,0.0,76.191,76.362,78.232,0.432,0,0.0
NA,CN,100,100,0,0.0,152.055,152.283,164.514,1.271,0,0.0
NA,NA,100,100,0,0.0,92.086,99.394,136.183,9.116,0,0.0
NA,EU,100,100,0,0.0,198.363,198.465,198.998,0.537,0,0.0
NA,NA,100,100,0,0.0,144.59,144.735,145.961,0.325,0,0.0
NA,EU,100,100,0,0.0,154.289,154.402,155.078,0.393,0,0.0
NA,NA,100,100,0,0.0,56.017,56.127,56.58,0.262,0,0.0
NA,AS,100,100,0,0.0,110.4,110.777,115.045,0.568,0,0.0
NA,EU,100,100,0,0.0,150.269,150.466,154.422,0.592,0,0.0
NA,EU,100,80,20,20.0,163.68,164.106,168.516,0.518,0,0.0
NA,EU,100,100,0,0.0,164.234,164.382,164.727,0.357,0,0.0
NA,EU,100,100,0,0.0,144.214,144.328,144.993,0.321,0,0.0
NA,EU,100,100,0,0.0,148.556,148.641,148.735,0.543,0,0.0
NA,NA,100,100,0,0.0,19.327,20.311,25.428,1.105,0,0.0
NA,NA,100,100,0,0.0,52.627,52.917,53.827,0.315,0,0.0
NA,NA,100,100,0,0.0,111.807,112.531,114.489,0.453,0,0.0
NA,AS,100,100,0,0.0,153.885,153.97,154.343,0.234,0,0.0
NA,NA,100,100,0,0.0,77.403,77.512,78.253,0.145,0,0.0
NA,EU,100,100,0,0.0,160.034,160.259,161.871,0.507,0,0.0
NA,EU,100,100,0,0.0,144.354,144.426,145.055,0.355,0,0.0
NA,EU,100,100,0,0.0,160.647,160.777,162.725,0.547,0,0.0
NA,EU,100,100,0,0.0,188.185,196.274,368.326,20.744,0,0.0
NA,NA,100,100,0,0.0,1.818,10.671,28.771,8.011,0,0.0
NA,NA,100,100,0,0.0,112.371,112.581,114.19,0.498,0,0.0
NA,NA,100,100,0,0.0,71.075,71.936,96.841,3.714,0,0.0
NA,NA,100,100,0,0.0,24.188,26.668,38.694,2.002,0,0.0
NA,EU,100,100,0,0.0,166.004,166.138,169.488,0.526,0,0.0
NA,EU,100,100,0,0.0,159.679,160.006,161.704,0.483,0,0.0
NA,CN,100,60,40,40.0,180.808,183.706,185.953,1.085,0,0.0
NA,NA,100,100,0,0.0,82.592,85.769,106.013,2.34,0,0.0
NA,CN,100,92,8,8.0,150.031,152.242,153.56,0.525,0,0.0
NA,AS,100,100,0,0.0,186.172,186.284,187.019,0.463,0,0.0
